Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Day,Month,Year
279,2020-03-22,6:00 PM,Kerala,45,7,3,0,52,22,3,2020
280,2020-03-22,6:00 PM,Madhya Pradesh,4,0,0,0,4,22,3,2020
281,2020-03-22,6:00 PM,Maharashtra,64,3,0,2,67,22,3,2020
282,2020-03-22,6:00 PM,Odisha,2,0,0,0,2,22,3,2020
283,2020-03-22,6:00 PM,Puducherry,1,0,0,0,1,22,3,2020
284,2020-03-22,6:00 PM,Punjab,21,0,0,1,21,22,3,2020
285,2020-03-22,6:00 PM,Rajasthan,22,2,3,0,24,22,3,2020
286,2020-03-22,6:00 PM,Tamil Nadu,5,2,1,0,7,22,3,2020
287,2020-03-22,6:00 PM,Telengana,11,11,1,0,22,22,3,2020
288,2020-03-22,6:00 PM,Chandigarh,5,0,0,0,5,22,3,2020
289,2020-03-22,6:00 PM,Jammu and Kashmir,4,0,0,0,4,22,3,2020
290,2020-03-22,6:00 PM,Ladakh,13,0,0,0,13,22,3,2020
291,2020-03-22,6:00 PM,Uttar Pradesh,26,1,9,0,27,22,3,2020
292,2020-03-22,6:00 PM,Uttarakhand,3,0,0,0,3,22,3,2020
293,2020-03-22,6:00 PM,West Bengal,4,0,0,0,4,22,3,2020
294,2020-03-23,6:00 PM,Andhra Pradesh,7,0,0,0,7,23,3,2020
295,2020-03-23,6:00 PM,Bihar,2,0,0,1,2,23,3,2020
296,2020-03-23,6:00 PM,Chhattisgarh,1,0,0,0,1,23,3,2020
297,2020-03-23,6:00 PM,Delhi,28,1,5,1,29,23,3,2020
298,2020-03-23,6:00 PM,Gujarat,29,0,0,1,29,23,3,2020
299,2020-03-23,6:00 PM,Haryana,12,14,0,0,26,23,3,2020
300,2020-03-23,6:00 PM,Himachal Pradesh,2,0,0,0,2,23,3,2020
301,2020-03-23,6:00 PM,Karnataka,33,0,2,1,33,23,3,2020
302,2020-03-23,6:00 PM,Kerala,60,7,3,0,67,23,3,2020
303,2020-03-23,6:00 PM,Madhya Pradesh,6,0,0,0,6,23,3,2020
304,2020-03-23,6:00 PM,Maharashtra,71,3,0,2,74,23,3,2020
305,2020-03-23,6:00 PM,Odisha,2,0,0,0,2,23,3,2020
306,2020-03-23,6:00 PM,Puducherry,1,0,0,0,1,23,3,2020
307,2020-03-23,6:00 PM,Punjab,21,0,0,1,21,23,3,2020
308,2020-03-23,6:00 PM,Rajasthan,26,2,3,0,28,23,3,2020
309,2020-03-23,6:00 PM,Tamil Nadu,7,2,1,0,9,23,3,2020
310,2020-03-23,6:00 PM,Telengana,22,10,1,0,32,23,3,2020
311,2020-03-23,6:00 PM,Chandigarh,6,0,0,0,6,23,3,2020
312,2020-03-23,6:00 PM,Jammu and Kashmir,4,0,0,0,4,23,3,2020
313,2020-03-23,6:00 PM,Ladakh,13,0,0,0,13,23,3,2020
314,2020-03-23,6:00 PM,Uttar Pradesh,30,1,9,0,31,23,3,2020
315,2020-03-23,6:00 PM,Uttarakhand,3,0,0,0,3,23,3,2020
316,2020-03-23,6:00 PM,West Bengal,7,0,0,0,7,23,3,2020
317,2020-03-24,6:00 PM,Andhra Pradesh,8,0,0,0,8,24,3,2020
318,2020-03-24,6:00 PM,Bihar,3,0,0,1,3,24,3,2020
319,2020-03-24,6:00 PM,Chhattisgarh,1,0,0,0,1,24,3,2020
320,2020-03-24,6:00 PM,Delhi,29,1,6,1,30,24,3,2020
321,2020-03-24,6:00 PM,Gujarat,32,1,0,1,33,24,3,2020
322,2020-03-24,6:00 PM,Haryana,14,14,11,0,28,24,3,2020
323,2020-03-24,6:00 PM,Himachal Pradesh,3,0,0,1,3,24,3,2020
324,2020-03-24,6:00 PM,Karnataka,37,0,3,1,37,24,3,2020
325,2020-03-24,6:00 PM,Kerala,87,8,4,0,95,24,3,2020
326,2020-03-24,6:00 PM,Madhya Pradesh,7,0,0,0,7,24,3,2020
327,2020-03-24,6:00 PM,Maharashtra,86,3,0,2,89,24,3,2020
328,2020-03-24,6:00 PM,Manipur,1,0,0,0,1,24,3,2020
329,2020-03-24,6:00 PM,Odisha,2,0,0,0,2,24,3,2020
330,2020-03-24,6:00 PM,Puducherry,1,0,0,0,1,24,3,2020
331,2020-03-24,6:00 PM,Punjab,29,0,0,1,29,24,3,2020
332,2020-03-24,6:00 PM,Rajasthan,30,2,3,0,32,24,3,2020
333,2020-03-24,6:00 PM,Tamil Nadu,13,2,1,0,15,24,3,2020
334,2020-03-24,6:00 PM,Telengana,25,10,1,0,35,24,3,2020
335,2020-03-24,6:00 PM,Chandigarh,7,0,0,0,7,24,3,2020
336,2020-03-24,6:00 PM,Jammu and Kashmir,4,0,0,0,4,24,3,2020
337,2020-03-24,6:00 PM,Ladakh,13,0,0,0,13,24,3,2020
338,2020-03-24,6:00 PM,Uttar Pradesh,32,1,11,0,33,24,3,2020
339,2020-03-24,6:00 PM,Uttarakhand,3,1,0,0,4,24,3,2020
340,2020-03-24,6:00 PM,West Bengal,9,0,0,1,9,24,3,2020
341,2020-03-25,6:00 PM,Andhra Pradesh,9,0,1,0,9,25,3,2020
342,2020-03-25,6:00 PM,Bihar,4,0,0,1,4,25,3,2020
343,2020-03-25,6:00 PM,Chhattisgarh,1,0,0,0,1,25,3,2020
344,2020-03-25,6:00 PM,Delhi,30,1,6,1,31,25,3,2020
